epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86693,2.6536,3.83197,2.28929,0.01046,0.36111,0.02138,0.01033,1.91052,3.52919,1.96575,1e-05,1e-05,1e-05
2,8.43877,2.7279,3.77348,2.48644,0.01382,0.30556,0.01346,0.00865,1.98282,3.54868,1.98125,2.9703e-05,2.9703e-05,2.9703e-05
3,9.85153,2.63204,3.80694,2.34045,0.00034,0.16667,0.00171,0.00092,2.03417,3.56012,2.00254,4.901e-05,4.901e-05,4.901e-05
4,11.1984,2.77426,3.93517,2.48858,0.01286,0.22222,0.01914,0.00745,1.9472,3.55289,2.03407,6.7921e-05,6.7921e-05,6.7921e-05
5,12.6845,2.11131,3.56413,2.04638,0.03471,0.25,0.02747,0.01839,1.85653,3.57132,2.00665,8.6436e-05,8.6436e-05,8.6436e-05
6,14.0344,1.50311,3.46886,1.70472,0.06797,0.27778,0.04921,0.03598,1.67989,3.54452,1.96415,0.000104555,0.000104555,0.000104555
7,15.2351,1.59707,3.44833,1.6493,0.09509,0.27778,0.08473,0.05876,1.54098,3.53391,1.82807,0.000122278,0.000122278,0.000122278
8,16.33,1.31366,3.6094,1.68631,0.19145,0.5,0.18036,0.12409,1.49481,3.52585,1.71949,0.000139605,0.000139605,0.000139605
9,17.3501,1.56831,3.45923,1.5516,0.17154,0.63889,0.31545,0.18356,1.54591,3.48767,1.72414,0.000156536,0.000156536,0.000156536
10,18.2977,1.25767,3.3504,1.42872,0.16799,0.63889,0.33535,0.21402,1.51057,3.44967,1.67145,0.000173071,0.000173071,0.000173071
11,19.2239,1.38144,3.24054,1.47507,0.12775,0.69444,0.37773,0.25746,1.45334,3.42925,1.59953,0.00018921,0.00018921,0.00018921
12,20.1737,1.34459,3.25579,1.46236,0.07155,0.75,0.38999,0.2728,1.45422,3.42647,1.56676,0.000204953,0.000204953,0.000204953
13,21.088,1.18129,3.18345,1.41901,0.05241,0.69444,0.37793,0.27284,1.49734,3.43255,1.5604,0.0002203,0.0002203,0.0002203
14,22.0301,1.25945,3.22314,1.42947,0.04158,0.75,0.35756,0.25931,1.55258,3.43272,1.57177,0.000235251,0.000235251,0.000235251
15,23.0044,1.23793,3.05943,1.43752,0.03473,0.75,0.36849,0.26972,1.45205,3.39993,1.55596,0.000249806,0.000249806,0.000249806
16,24.0101,1.31836,3.0645,1.39278,0.02813,0.72222,0.37885,0.26705,1.47631,3.38668,1.50544,0.000263965,0.000263965,0.000263965
