epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8617,0.2476,0.20448,0.80526,0.72727,0.79765,0.77055,0.55544,1.20616,1.30795,1.33911,0.00018,0.00018,0.00018
2,85.3966,0.26596,0.21016,0.80872,0.70256,0.80352,0.76488,0.5413,1.23603,1.23384,1.37856,0.000366337,0.000366337,0.000366337
3,119.491,0.25984,0.20926,0.80761,0.71507,0.7654,0.75129,0.52453,1.26704,1.39642,1.37695,0.000548912,0.000548912,0.000548912
4,149.672,0.30208,0.23488,0.81867,0.73816,0.77713,0.75921,0.5395,1.26288,1.40057,1.42541,0.000727725,0.000727725,0.000727725
5,178.276,0.32688,0.24773,0.81883,0.67335,0.68915,0.7068,0.47175,1.39509,1.72809,1.50334,0.000902776,0.000902776,0.000902776
6,206.301,0.33652,0.25556,0.82118,0.74074,0.70674,0.73083,0.50629,1.28456,1.23099,1.39332,0.0009505,0.0009505,0.0009505
7,235.167,0.35622,0.27061,0.82652,0.75972,0.54706,0.65431,0.43909,1.41322,1.74484,1.53643,0.0009406,0.0009406,0.0009406
8,264.3,0.35393,0.26543,0.82443,0.79258,0.62752,0.71334,0.48807,1.26606,1.49039,1.35715,0.0009307,0.0009307,0.0009307
9,293.469,0.36152,0.26649,0.8259,0.69018,0.80352,0.77065,0.53006,1.30026,1.27972,1.35897,0.0009208,0.0009208,0.0009208
10,322.673,0.35307,0.26804,0.82443,0.79412,0.739,0.79035,0.53456,1.27526,1.09168,1.38721,0.0009109,0.0009109,0.0009109
11,350.299,0.36627,0.26718,0.82933,0.71162,0.7478,0.74551,0.50803,1.28444,1.19149,1.37995,0.000901,0.000901,0.000901
12,376.031,0.37945,0.2678,0.83051,0.69731,0.76833,0.75992,0.52505,1.27465,1.18205,1.37662,0.0008911,0.0008911,0.0008911
13,402.067,0.34155,0.2582,0.82547,0.65416,0.71554,0.70649,0.50772,1.20994,1.54395,1.32966,0.0008812,0.0008812,0.0008812
14,430.596,0.34525,0.26261,0.82443,0.79395,0.56891,0.67835,0.45904,1.30966,1.58518,1.39789,0.0008713,0.0008713,0.0008713
15,457.839,0.34198,0.26225,0.82261,0.76412,0.68915,0.71429,0.48667,1.31031,1.2721,1.41483,0.0008614,0.0008614,0.0008614
16,484.126,0.34086,0.2594,0.82328,0.66173,0.78592,0.71842,0.49846,1.28605,1.2572,1.36824,0.0008515,0.0008515,0.0008515
17,513.278,0.3475,0.2642,0.828,0.76974,0.72727,0.76155,0.52823,1.26254,1.19745,1.36911,0.0008416,0.0008416,0.0008416
18,535.72,0.36597,0.26516,0.83244,0.74309,0.64223,0.71676,0.50208,1.25051,1.38773,1.38614,0.0008317,0.0008317,0.0008317
19,558.286,0.34608,0.2588,0.82754,0.73788,0.7478,0.74661,0.5199,1.25719,1.15075,1.36601,0.0008218,0.0008218,0.0008218
20,583.748,0.3333,0.25806,0.82009,0.77626,0.56012,0.66087,0.44596,1.37346,2.07197,1.4352,0.0008119,0.0008119,0.0008119
21,608.997,0.34344,0.26296,0.82469,0.65418,0.66569,0.67787,0.46761,1.32717,1.83483,1.41832,0.000802,0.000802,0.000802
22,633.868,0.35985,0.27034,0.8275,0.73494,0.71554,0.77455,0.54176,1.23703,1.1646,1.3436,0.0007921,0.0007921,0.0007921
23,658.319,0.3607,0.26407,0.8252,0.7317,0.74379,0.76188,0.53945,1.2313,1.19232,1.35645,0.0007822,0.0007822,0.0007822
24,680.975,0.3366,0.25601,0.82677,0.7969,0.60983,0.70377,0.50086,1.21346,1.60232,1.31346,0.0007723,0.0007723,0.0007723
25,705.039,0.32372,0.24837,0.81854,0.69653,0.70674,0.72466,0.50296,1.27908,1.67456,1.36319,0.0007624,0.0007624,0.0007624
26,729.755,0.33528,0.25473,0.82185,0.57051,0.261,0.43318,0.28631,1.80089,4.14003,1.79984,0.0007525,0.0007525,0.0007525
27,753.881,0.32857,0.24569,0.82294,0.72761,0.74419,0.7425,0.51501,1.20752,1.15305,1.32332,0.0007426,0.0007426,0.0007426
28,778.002,0.3247,0.24821,0.81969,0.76821,0.71923,0.74776,0.51594,1.27092,1.18797,1.35716,0.0007327,0.0007327,0.0007327
29,802.999,0.3321,0.25432,0.82188,0.69672,0.7478,0.73498,0.51701,1.25912,1.40387,1.38167,0.0007228,0.0007228,0.0007228
30,824.502,0.31427,0.23961,0.82062,0.74728,0.6305,0.68991,0.46199,1.3031,1.46182,1.43298,0.0007129,0.0007129,0.0007129
31,845.928,0.32566,0.25087,0.82349,0.76512,0.68779,0.70653,0.47443,1.3242,1.26301,1.40809,0.000703,0.000703,0.000703
32,869.62,0.3233,0.25121,0.8223,0.73825,0.66569,0.70269,0.49651,1.28072,1.57115,1.41793,0.0006931,0.0006931,0.0006931
33,894.872,0.34027,0.2597,0.8253,0.70312,0.65982,0.69653,0.47675,1.37505,1.74916,1.45649,0.0006832,0.0006832,0.0006832
34,919.877,0.32384,0.24841,0.82376,0.69578,0.67742,0.71164,0.50378,1.23406,1.83578,1.3235,0.0006733,0.0006733,0.0006733
35,944.19,0.31406,0.24412,0.81905,0.76112,0.59238,0.6885,0.48209,1.28129,1.65558,1.37543,0.0006634,0.0006634,0.0006634
36,969.491,0.32142,0.24715,0.82417,0.7224,0.71848,0.73168,0.50117,1.2748,1.24634,1.38083,0.0006535,0.0006535,0.0006535
37,989.833,0.32818,0.25028,0.81987,0.75737,0.70487,0.74547,0.51878,1.22556,1.29472,1.37417,0.0006436,0.0006436,0.0006436
38,1012.78,0.31177,0.24578,0.81665,0.66917,0.78299,0.7376,0.52355,1.21922,1.32519,1.35442,0.0006337,0.0006337,0.0006337
39,1037.34,0.31286,0.24284,0.82167,0.76201,0.61972,0.68621,0.4692,1.33383,1.3732,1.44719,0.0006238,0.0006238,0.0006238
40,1061.35,0.31444,0.2444,0.82155,0.68595,0.73021,0.73198,0.51281,1.28854,1.52053,1.39004,0.0006139,0.0006139,0.0006139
41,1084.8,0.32113,0.24791,0.82099,0.7011,0.74975,0.73858,0.51297,1.2601,1.06876,1.3923,0.000604,0.000604,0.000604
42,1113.14,0.32809,0.24751,0.82477,0.70823,0.75453,0.74534,0.5349,1.19544,1.3227,1.32323,0.0005941,0.0005941,0.0005941
43,1154.6,0.30492,0.23474,0.81929,0.76896,0.74194,0.75355,0.53601,1.22259,1.18451,1.33307,0.0005842,0.0005842,0.0005842
44,1188.61,0.30067,0.23425,0.81779,0.69271,0.78006,0.73548,0.52505,1.20892,1.38891,1.34071,0.0005743,0.0005743,0.0005743
45,1225.47,0.30375,0.23689,0.8177,0.7038,0.75953,0.71564,0.50353,1.25533,1.34221,1.3864,0.0005644,0.0005644,0.0005644
46,1258.31,0.29818,0.23696,0.81563,0.75222,0.71848,0.73811,0.51468,1.26752,1.20803,1.39851,0.0005545,0.0005545,0.0005545
47,1290.58,0.30602,0.23865,0.81745,0.72527,0.77419,0.75729,0.54201,1.19475,1.33594,1.32156,0.0005446,0.0005446,0.0005446
48,1315.38,0.30494,0.23755,0.81805,0.71314,0.78006,0.75578,0.5402,1.20906,1.32783,1.33233,0.0005347,0.0005347,0.0005347
49,1340.29,0.29819,0.23602,0.81699,0.75633,0.70088,0.73817,0.53474,1.18885,1.56655,1.31285,0.0005248,0.0005248,0.0005248
50,1368.12,0.29786,0.23672,0.81595,0.74493,0.75367,0.75331,0.53597,1.20079,1.60032,1.31308,0.0005149,0.0005149,0.0005149
51,1396.9,0.30549,0.23724,0.81794,0.76805,0.66569,0.73771,0.51778,1.24033,1.38644,1.35132,0.000505,0.000505,0.000505
52,1431.73,0.29994,0.23485,0.81832,0.79414,0.69009,0.75765,0.52902,1.23189,1.33111,1.3603,0.0004951,0.0004951,0.0004951
53,1461.43,0.2965,0.23058,0.81635,0.75796,0.63365,0.69464,0.48241,1.24545,1.35462,1.3532,0.0004852,0.0004852,0.0004852
54,1485.42,0.3085,0.23872,0.8164,0.74192,0.69129,0.72247,0.51127,1.21403,1.53266,1.31959,0.0004753,0.0004753,0.0004753
55,1510.71,0.29932,0.23311,0.8168,0.75031,0.73314,0.74978,0.53041,1.22049,1.31056,1.36911,0.0004654,0.0004654,0.0004654
56,1536.82,0.28854,0.22631,0.81816,0.72571,0.7526,0.7543,0.53383,1.20622,1.18429,1.34772,0.0004555,0.0004555,0.0004555
57,1563.97,0.29538,0.23199,0.81609,0.71543,0.78886,0.74279,0.51328,1.24669,1.24396,1.38758,0.0004456,0.0004456,0.0004456
58,1591.74,0.28726,0.22733,0.8119,0.70248,0.7478,0.73524,0.52645,1.18758,1.44169,1.29428,0.0004357,0.0004357,0.0004357
59,1627,0.29403,0.22827,0.81708,0.69786,0.7654,0.74215,0.53433,1.18822,1.37333,1.31633,0.0004258,0.0004258,0.0004258
60,1655.21,0.29536,0.22957,0.81441,0.71601,0.69501,0.71846,0.50981,1.23133,1.6523,1.33718,0.0004159,0.0004159,0.0004159
61,1683.38,0.29151,0.22689,0.81296,0.72872,0.75624,0.73999,0.51444,1.24228,1.25975,1.38412,0.000406,0.000406,0.000406
62,1712.6,0.29164,0.22811,0.81612,0.73788,0.76774,0.76639,0.54555,1.19274,1.12173,1.3321,0.0003961,0.0003961,0.0003961
63,1743.91,0.29042,0.22602,0.81478,0.7693,0.74322,0.7639,0.54915,1.1888,1.26248,1.2906,0.0003862,0.0003862,0.0003862
64,1777.85,0.28925,0.22649,0.81549,0.71351,0.77419,0.75266,0.53516,1.21053,1.38643,1.29975,0.0003763,0.0003763,0.0003763
65,1808.83,0.2901,0.2276,0.81661,0.71892,0.78006,0.75922,0.53292,1.2481,1.25925,1.36519,0.0003664,0.0003664,0.0003664
66,1842.46,0.29278,0.22682,0.81336,0.70241,0.76833,0.75265,0.53138,1.21543,1.38639,1.33928,0.0003565,0.0003565,0.0003565
67,1875.81,0.2839,0.22482,0.81361,0.7154,0.80352,0.76546,0.54159,1.20824,1.34057,1.34628,0.0003466,0.0003466,0.0003466
68,1908.13,0.28819,0.22495,0.817,0.72654,0.79472,0.76153,0.53306,1.21992,1.36737,1.3391,0.0003367,0.0003367,0.0003367
69,1939.85,0.2825,0.22158,0.81238,0.70844,0.81232,0.75528,0.53854,1.21197,1.22227,1.33866,0.0003268,0.0003268,0.0003268
70,1970.4,0.28719,0.22422,0.81577,0.68668,0.77126,0.7396,0.53464,1.19058,1.35966,1.35798,0.0003169,0.0003169,0.0003169
71,2000.18,0.28486,0.22565,0.8148,0.70732,0.7654,0.7444,0.53009,1.19133,1.444,1.34034,0.000307,0.000307,0.000307
72,2028.62,0.28255,0.22364,0.81503,0.73193,0.71261,0.73386,0.53597,1.18505,1.52317,1.30976,0.0002971,0.0002971,0.0002971
